ModelID,condition_model_formula,Log-Likelihood,Coefficient for Surprisal Score,Delta Log-Likelihood,AIC,BIC,Data Size,baseline_model_formula,Fixed Effects,Random Effects,Variance-Covariance Matrix
8465733,LogRT ~ CharacterLength_c + LogFrequencies_c + SurprisalScore_c + (1 | WorkerID) + (1 | POSTag),-169762.03545019936,0.0243172293458805,1610.186219945288,339538.0709003987,339619.6316803085,848767,LogRT ~ CharacterLength_c + LogFrequencies_c + (1 | WorkerID) + (1 | POSTag),"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Estimate</th>
      <th>Std. Error</th>
      <th>t value</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>(Intercept)</th>
      <td>5.737083</td>
      <td>0.023092</td>
      <td>248.440140</td>
    </tr>
    <tr>
      <th>CharacterLength_c</th>
      <td>0.008192</td>
      <td>0.000515</td>
      <td>15.903016</td>
    </tr>
    <tr>
      <th>LogFrequencies_c</th>
      <td>-0.013716</td>
      <td>0.000650</td>
      <td>-21.112118</td>
    </tr>
    <tr>
      <th>SurprisalScore_c</th>
      <td>0.024317</td>
      <td>0.000428</td>
      <td>56.802209</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060815</td>
      <td>0.246608</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002126</td>
      <td>0.046108</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087196</td>
      <td>0.295290</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060815</td>
      <td>0.246608</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002126</td>
      <td>0.046108</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087196</td>
      <td>0.295290</td>
    </tr>
  </tbody>
</table>"
8465085,LogRT ~ CharacterLength_c + LogFrequencies_c + SurprisalScore_c + (1 | WorkerID) + (1 | POSTag),-169832.66157219975,0.0239164168396738,1539.5600979448936,339679.3231443995,339760.8839243093,848767,LogRT ~ CharacterLength_c + LogFrequencies_c + (1 | WorkerID) + (1 | POSTag),"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Estimate</th>
      <th>Std. Error</th>
      <th>t value</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>(Intercept)</th>
      <td>5.736916</td>
      <td>0.023007</td>
      <td>249.359635</td>
    </tr>
    <tr>
      <th>CharacterLength_c</th>
      <td>0.008644</td>
      <td>0.000514</td>
      <td>16.805374</td>
    </tr>
    <tr>
      <th>LogFrequencies_c</th>
      <td>-0.013378</td>
      <td>0.000654</td>
      <td>-20.458371</td>
    </tr>
    <tr>
      <th>SurprisalScore_c</th>
      <td>0.023916</td>
      <td>0.000431</td>
      <td>55.540197</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060817</td>
      <td>0.246610</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002082</td>
      <td>0.045633</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087211</td>
      <td>0.295314</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060817</td>
      <td>0.246610</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002082</td>
      <td>0.045633</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087211</td>
      <td>0.295314</td>
    </tr>
  </tbody>
</table>"
6892214,LogRT ~ CharacterLength_c + LogFrequencies_c + SurprisalScore_c + (1 | WorkerID) + (1 | POSTag),-169681.9163708812,0.025481970237733,1690.3052992634475,339377.8327417624,339459.3935216722,848767,LogRT ~ CharacterLength_c + LogFrequencies_c + (1 | WorkerID) + (1 | POSTag),"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Estimate</th>
      <th>Std. Error</th>
      <th>t value</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>(Intercept)</th>
      <td>5.737339</td>
      <td>0.023110</td>
      <td>248.259941</td>
    </tr>
    <tr>
      <th>CharacterLength_c</th>
      <td>0.008319</td>
      <td>0.000515</td>
      <td>16.166617</td>
    </tr>
    <tr>
      <th>LogFrequencies_c</th>
      <td>-0.012223</td>
      <td>0.000657</td>
      <td>-18.600974</td>
    </tr>
    <tr>
      <th>SurprisalScore_c</th>
      <td>0.025482</td>
      <td>0.000438</td>
      <td>58.200980</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060819</td>
      <td>0.246616</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002135</td>
      <td>0.046203</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087180</td>
      <td>0.295262</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060819</td>
      <td>0.246616</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002135</td>
      <td>0.046203</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087180</td>
      <td>0.295262</td>
    </tr>
  </tbody>
</table>"
6839425,LogRT ~ CharacterLength_c + LogFrequencies_c + SurprisalScore_c + (1 | WorkerID) + (1 | POSTag),-169855.76352740003,0.0242953916794243,1516.45814274461,339725.52705480007,339807.08783470985,848767,LogRT ~ CharacterLength_c + LogFrequencies_c + (1 | WorkerID) + (1 | POSTag),"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Estimate</th>
      <th>Std. Error</th>
      <th>t value</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>(Intercept)</th>
      <td>5.737374</td>
      <td>0.023133</td>
      <td>248.019109</td>
    </tr>
    <tr>
      <th>CharacterLength_c</th>
      <td>0.008802</td>
      <td>0.000514</td>
      <td>17.121983</td>
    </tr>
    <tr>
      <th>LogFrequencies_c</th>
      <td>-0.012403</td>
      <td>0.000662</td>
      <td>-18.748427</td>
    </tr>
    <tr>
      <th>SurprisalScore_c</th>
      <td>0.024295</td>
      <td>0.000441</td>
      <td>55.121177</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060820</td>
      <td>0.246617</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002146</td>
      <td>0.046327</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087215</td>
      <td>0.295322</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060820</td>
      <td>0.246617</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002146</td>
      <td>0.046327</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087215</td>
      <td>0.295322</td>
    </tr>
  </tbody>
</table>"
8117279,LogRT ~ CharacterLength_c + LogFrequencies_c + SurprisalScore_c + (1 | WorkerID) + (1 | POSTag),-169757.7050743385,0.0238754245714752,1614.516595806141,339529.410148677,339610.9709285868,848767,LogRT ~ CharacterLength_c + LogFrequencies_c + (1 | WorkerID) + (1 | POSTag),"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Estimate</th>
      <th>Std. Error</th>
      <th>t value</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>(Intercept)</th>
      <td>5.736878</td>
      <td>0.023051</td>
      <td>248.875501</td>
    </tr>
    <tr>
      <th>CharacterLength_c</th>
      <td>0.008460</td>
      <td>0.000515</td>
      <td>16.443537</td>
    </tr>
    <tr>
      <th>LogFrequencies_c</th>
      <td>-0.014126</td>
      <td>0.000647</td>
      <td>-21.832608</td>
    </tr>
    <tr>
      <th>SurprisalScore_c</th>
      <td>0.023875</td>
      <td>0.000420</td>
      <td>56.878679</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060813</td>
      <td>0.246603</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002105</td>
      <td>0.045882</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087195</td>
      <td>0.295288</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060813</td>
      <td>0.246603</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002105</td>
      <td>0.045882</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087195</td>
      <td>0.295288</td>
    </tr>
  </tbody>
</table>"
8117319,LogRT ~ CharacterLength_c + LogFrequencies_c + SurprisalScore_c + (1 | WorkerID) + (1 | POSTag),-169883.9054118833,0.0232113953280397,1488.3162582613586,339781.8108237666,339863.37160367635,848767,LogRT ~ CharacterLength_c + LogFrequencies_c + (1 | WorkerID) + (1 | POSTag),"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Estimate</th>
      <th>Std. Error</th>
      <th>t value</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>(Intercept)</th>
      <td>5.737203</td>
      <td>0.023121</td>
      <td>248.140812</td>
    </tr>
    <tr>
      <th>CharacterLength_c</th>
      <td>0.008709</td>
      <td>0.000514</td>
      <td>16.931485</td>
    </tr>
    <tr>
      <th>LogFrequencies_c</th>
      <td>-0.013993</td>
      <td>0.000651</td>
      <td>-21.482353</td>
    </tr>
    <tr>
      <th>SurprisalScore_c</th>
      <td>0.023211</td>
      <td>0.000425</td>
      <td>54.606412</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060817</td>
      <td>0.246612</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002140</td>
      <td>0.046263</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087221</td>
      <td>0.295332</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060817</td>
      <td>0.246612</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002140</td>
      <td>0.046263</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087221</td>
      <td>0.295332</td>
    </tr>
  </tbody>
</table>"
8465604,LogRT ~ CharacterLength_c + LogFrequencies_c + SurprisalScore_c + (1 | WorkerID) + (1 | POSTag),-169810.54805652337,0.0240393231321319,1561.6736136212712,339635.09611304675,339716.6568929565,848767,LogRT ~ CharacterLength_c + LogFrequencies_c + (1 | WorkerID) + (1 | POSTag),"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Estimate</th>
      <th>Std. Error</th>
      <th>t value</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>(Intercept)</th>
      <td>5.736970</td>
      <td>0.023018</td>
      <td>249.235047</td>
    </tr>
    <tr>
      <th>CharacterLength_c</th>
      <td>0.008292</td>
      <td>0.000515</td>
      <td>16.099534</td>
    </tr>
    <tr>
      <th>LogFrequencies_c</th>
      <td>-0.013593</td>
      <td>0.000652</td>
      <td>-20.852220</td>
    </tr>
    <tr>
      <th>SurprisalScore_c</th>
      <td>0.024039</td>
      <td>0.000430</td>
      <td>55.938377</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060803</td>
      <td>0.246583</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002089</td>
      <td>0.045707</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087206</td>
      <td>0.295307</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060803</td>
      <td>0.246583</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002089</td>
      <td>0.045707</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087206</td>
      <td>0.295307</td>
    </tr>
  </tbody>
</table>"
8465082,LogRT ~ CharacterLength_c + LogFrequencies_c + SurprisalScore_c + (1 | WorkerID) + (1 | POSTag),-169843.1167258534,0.0238578627998285,1529.1049442912336,339700.2334517068,339781.7942316166,848767,LogRT ~ CharacterLength_c + LogFrequencies_c + (1 | WorkerID) + (1 | POSTag),"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Estimate</th>
      <th>Std. Error</th>
      <th>t value</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>(Intercept)</th>
      <td>5.736982</td>
      <td>0.023033</td>
      <td>249.078785</td>
    </tr>
    <tr>
      <th>CharacterLength_c</th>
      <td>0.008665</td>
      <td>0.000514</td>
      <td>16.847607</td>
    </tr>
    <tr>
      <th>LogFrequencies_c</th>
      <td>-0.013296</td>
      <td>0.000655</td>
      <td>-20.305291</td>
    </tr>
    <tr>
      <th>SurprisalScore_c</th>
      <td>0.023858</td>
      <td>0.000431</td>
      <td>55.350944</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060820</td>
      <td>0.246618</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002095</td>
      <td>0.045776</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087213</td>
      <td>0.295318</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060820</td>
      <td>0.246618</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002095</td>
      <td>0.045776</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087213</td>
      <td>0.295318</td>
    </tr>
  </tbody>
</table>"
6892212,LogRT ~ CharacterLength_c + LogFrequencies_c + SurprisalScore_c + (1 | WorkerID) + (1 | POSTag),-169804.1688657899,0.0245777887660175,1568.0528043547529,339622.3377315798,339703.8985114896,848767,LogRT ~ CharacterLength_c + LogFrequencies_c + (1 | WorkerID) + (1 | POSTag),"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Estimate</th>
      <th>Std. Error</th>
      <th>t value</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>(Intercept)</th>
      <td>5.737093</td>
      <td>0.022893</td>
      <td>250.609396</td>
    </tr>
    <tr>
      <th>CharacterLength_c</th>
      <td>0.008589</td>
      <td>0.000514</td>
      <td>16.698731</td>
    </tr>
    <tr>
      <th>LogFrequencies_c</th>
      <td>-0.012570</td>
      <td>0.000659</td>
      <td>-19.086102</td>
    </tr>
    <tr>
      <th>SurprisalScore_c</th>
      <td>0.024578</td>
      <td>0.000438</td>
      <td>56.052788</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060836</td>
      <td>0.246649</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002024</td>
      <td>0.044985</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087205</td>
      <td>0.295305</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060836</td>
      <td>0.246649</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002024</td>
      <td>0.044985</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087205</td>
      <td>0.295305</td>
    </tr>
  </tbody>
</table>"
6839403,LogRT ~ CharacterLength_c + LogFrequencies_c + SurprisalScore_c + (1 | WorkerID) + (1 | POSTag),-169915.58549045704,0.023847251332063,1456.6361796876008,339845.1709809141,339926.73176082387,848767,LogRT ~ CharacterLength_c + LogFrequencies_c + (1 | WorkerID) + (1 | POSTag),"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Estimate</th>
      <th>Std. Error</th>
      <th>t value</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>(Intercept)</th>
      <td>5.737509</td>
      <td>0.023181</td>
      <td>247.505725</td>
    </tr>
    <tr>
      <th>CharacterLength_c</th>
      <td>0.008984</td>
      <td>0.000514</td>
      <td>17.484112</td>
    </tr>
    <tr>
      <th>LogFrequencies_c</th>
      <td>-0.012536</td>
      <td>0.000663</td>
      <td>-18.915115</td>
    </tr>
    <tr>
      <th>SurprisalScore_c</th>
      <td>0.023847</td>
      <td>0.000441</td>
      <td>54.021135</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060808</td>
      <td>0.246593</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002172</td>
      <td>0.046601</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087228</td>
      <td>0.295343</td>
    </tr>
  </tbody>
</table>","<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>grp</th>
      <th>var1</th>
      <th>var2</th>
      <th>vcov</th>
      <th>sdcor</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>1</th>
      <td>WorkerID</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.060808</td>
      <td>0.246593</td>
    </tr>
    <tr>
      <th>2</th>
      <td>POSTag</td>
      <td>(Intercept)</td>
      <td>None</td>
      <td>0.002172</td>
      <td>0.046601</td>
    </tr>
    <tr>
      <th>3</th>
      <td>Residual</td>
      <td>None</td>
      <td>None</td>
      <td>0.087228</td>
      <td>0.295343</td>
    </tr>
  </tbody>
</table>"
