config_file_name,run_UID
train_blmf_8k_2x2_gpt_exp010.py,5983308
train_blmf_8k_4x4_gpt_exp010.py,5988018
train_blmf_8k_6x6_gpt_exp010.py,5734465
train_blmf_8k_8x8_gpt_exp010.py,5988020
train_blmf_8k_12x12_gpt_exp010.py,5989080
train_blmf_8k_2x2_gpt_exp100.py,5983309
train_blmf_8k_4x4_gpt_exp100.py,5988019
train_blmf_8k_6x6_gpt_exp100.py,5734467
train_blmf_8k_8x8_gpt_exp100.py,5988022
train_blmf_8k_12x12_gpt_exp100.py,5989082
train_blmf_8k_2x2_gpt_exp010_short5.py,5988063
train_blmf_8k_4x4_gpt_exp010_short5.py,5990491
train_blmf_8k_6x6_gpt_exp010_short5.py,5990493
train_blmf_8k_8x8_gpt_exp010_short5.py,5990495
train_blmf_8k_12x12_gpt_exp010_short5.py,5990497
train_blmf_8k_2x2_gpt_exp100_short5.py,5988064
train_blmf_8k_4x4_gpt_exp100_short5.py,5990492
train_blmf_8k_6x6_gpt_exp100_short5.py,5990494
train_blmf_8k_8x8_gpt_exp100_short5.py,5990496
train_blmf_8k_12x12_gpt_exp100_short5.py,5990498
train_blmf_8k_6x12_5gramgpt_nomask.py,6067324
train_blmf_8k_12x12_5gramgpt_nomask.py,6067325
train_blmf_8k_16x12_5gramgpt_nomask.py,6067326
train_blmf_8k_6x6_5gramgpt_nomask.py,5988065
train_blmf_8k_12x6_5gramgpt_nomask.py,6067525
train_blmf_8k_16x6_5gramgpt_nomask.py,6074706
train_blmf_8k_24x12_5gramgpt_nomask.py,6076155
train_blmf_8k_6x12_gpt_exp100_short5.py,6076156
train_blmf_8k_16x12_gpt_exp100_short5.py,6076157
train_blmf_8k_24x12_gpt_exp100_short5.py,6076158
train_blmf_8k_2x12_5gramgpt_nomask.py,6093007
train_blmf_8k_2x12_gpt_exp100_short5.py,6093011
train_blmf_8k_4x12_5gramgpt_nomask.py,6093010
train_blmf_8k_4x12_gpt_exp100_short5.py,6093012
train_blmf_8k_2x12_gpt_exp100_short5_ffwadjp.py,6156974
train_blmf_8k_4x12_gpt_exp100_short5_ffwadjp.py,6156975
train_blmf_8k_6x12_gpt_exp100_short5_ffwadjp.py,6156976
train_blmf_8k_12x12_gpt_exp100_short5_ffwadjp.py,5990498
train_blmf_8k_16x12_gpt_exp100_short5_ffwadjp.py,6156977
train_blmf_8k_2x12_gpt_exp100_short5_hsadjp.py,6155194
train_blmf_8k_4x12_gpt_exp100_short5_hsadjp.py,6155195
train_blmf_8k_6x12_gpt_exp100_short5_hsadjp.py,6155196
train_blmf_8k_12x12_gpt_exp100_short5_hsadjp.py,5990498
train_blmf_8k_16x12_gpt_exp100_short5_hsadjp.py,6155197
train_blmf_8k_2x12_gpt_exp100_short5_hsadjp_ms1.py,6191973
train_blmf_8k_4x12_gpt_exp100_short5_hsadjp_ms1.py,6191974
train_blmf_8k_6x12_gpt_exp100_short5_hsadjp_ms1.py,6191975
train_blmf_8k_12x12_gpt_exp100_short5_hsadjp_ms1.py,6191976
train_blmf_8k_2x12_5gramgpt_nomask_hsadjp_ms1.py,6200055
train_blmf_8k_4x12_5gramgpt_nomask_hsadjp_ms1.py,6200060
train_blmf_8k_6x12_5gramgpt_nomask_hsadjp_ms1.py,6200065
train_blmf_8k_12x12_5gramgpt_nomask_hsadjp_ms1.py,6200071
train_blmf_8k_6x12_gpt_exp100_short5_hsadjp_ms2.py,6191963
train_blmf_8k_12x12_gpt_exp100_short5_hsadjp_ms2.py,6191964
train_blmf_8k_2x12_5gramgpt_nomask_hsadjp_ms2.py,6200056
train_blmf_8k_6x12_5gramgpt_nomask_hsadjp_ms2.py,6200067
train_blmf_8k_12x12_5gramgpt_nomask_hsadjp_ms2.py,6200072
train_blmf_8k_2x12_gpt_exp100_short5_hsadjp_ms3.py,6191965
train_blmf_8k_4x12_gpt_exp100_short5_hsadjp_ms3.py,6191966
train_blmf_8k_12x12_gpt_exp100_short5_hsadjp_ms3.py,6191968
train_blmf_8k_2x12_5gramgpt_nomask_hsadjp_ms3.py,6200057
train_blmf_8k_4x12_5gramgpt_nomask_hsadjp_ms3.py,6200062
train_blmf_8k_12x12_5gramgpt_nomask_hsadjp_ms3.py,6200073
train_blmf_8k_2x12_gpt_exp100_short5_hsadjp_ms4.py,6191969
train_blmf_8k_4x12_gpt_exp100_short5_hsadjp_ms4.py,6191970
train_blmf_8k_6x12_gpt_exp100_short5_hsadjp_ms4.py,6191971
train_blmf_8k_12x12_gpt_exp100_short5_hsadjp_ms4.py,6191972
train_blmf_8k_2x12_5gramgpt_nomask_hsadjp_ms4.py,6200058
train_blmf_8k_4x12_5gramgpt_nomask_hsadjp_ms4.py,6200063
train_blmf_8k_6x12_5gramgpt_nomask_hsadjp_ms4.py,6200069
train_blmf_8k_12x12_5gramgpt_nomask_hsadjp_ms4.py,6200074
train_blmf_8k_2x12_5gramgpt_nomask_hsadjp_ms5.py,6200059
train_blmf_8k_4x12_5gramgpt_nomask_hsadjp_ms5.py,6200064
train_blmf_8k_6x12_5gramgpt_nomask_hsadjp_ms5.py,6200070
train_blmf_8k_12x12_5gramgpt_nomask_hsadjp_ms5.py,6200075
train_blmf_8k_2x12_5gramgpt_nomask_ms1.py,6199955
train_blmf_8k_4x12_5gramgpt_nomask_ms1.py,6199960
train_blmf_8k_6x12_5gramgpt_nomask_ms1.py,6199967
train_blmf_8k_2x12_5gramgpt_nomask_ms2.py,6199957
train_blmf_8k_4x12_5gramgpt_nomask_ms2.py,6199961
train_blmf_8k_6x12_5gramgpt_nomask_ms2.py,6199968
train_blmf_8k_2x12_5gramgpt_nomask_ms3.py,6199958
train_blmf_8k_4x12_5gramgpt_nomask_ms3.py,6199962
train_blmf_8k_6x12_5gramgpt_nomask_ms3.py,6199969
train_blmf_8k_12x12_5gramgpt_nomask_ms3.py,6199974
train_blmf_8k_2x12_5gramgpt_nomask_ms4.py,6199959
train_blmf_8k_4x12_5gramgpt_nomask_ms4.py,6199966
train_blmf_8k_6x12_5gramgpt_nomask_ms4.py,6199970
train_blmf_8k_12x12_5gramgpt_nomask_ms4.py,6199975
train_blmf_8k_12x12_5gramgpt_nomask_ms2.py,6199972
train_blmf_8k_12x12_5gramgpt_nomask_ms1.py,6199971
train_blmf_8k_4x12_gpt_exp100_short5_hsadjp_ms2.py,6218379
train_blmf_8k_6x12_gpt_exp100_short5_hsadjp_ms3.py,6218378
train_blmf_8k_2x12_gpt_exp100_short5_hsadjp_ms2.py,6218380
train_blmf_8k_4x12_5gramgpt_nomask_hsadjp_ms2.py,6225033
train_blmf_8k_6x12_5gramgpt_nomask_hsadjp_ms3.py,6225034
train_blmf_8k_6x6_gpt_exp250.py,5734550
train_blmf_8k_6x6_gpt_nomask.py,5496427
train_blmf_8k_6x6_gpt_lin.py,5734459
